id,text,label
er_9be7cd97319e,"Be careful with lay off The culture is very easy going, it's relax if you compare it to a Telecom or Banking companies. You can work full remote. Benefits above the law. Parking spots for everyone. Transportation from and to the company. The company is in the outside of the city and sometimes there's traffic jams. People being fired without previous notice and on the same day you are out (happens once a year).",
er_af024ade91d8,"Great place Family friendly, flexible.  Good tone at the the top and culture.  Good at working with employees to  achieve their own personal goals and where they want to go. Huge growth in office size and client base in last couple of years. Can have some smaller jobs that are terrible to work on and low realization and net collected rate. Partners in other offices can low bid jobs and pull you onto them.  Huge growth means much busier in-charges and managers.",
er_8521b131e9d6,"full work from home is possible work from home is real, great compensation benefits, slow inclusion of new business acquired into SAP culture",
er_49ac64fa2d9a,Nice place but pressure at times Staff Travel is the only benefit Irregular shifts can be dis stressing at times,
er_d718cb8b5747,"Production Company great people, great clients, very busy pay, global managment, off shoring",
er_674c1bbc657c,"Good, but can be better - Good work/life balance
- Good perks (allowances, bonus, awards)
- Office is very comfortable and stylish (large eating area, space for videogames, space with puffs indoors, space with sofas outdoors and space for music)
- Good company values (people are actually taken care of)
- Very friendly environment and helpful coworkers (cooperation instead of competition)
- Good top level leadership (you feel the company is in good hands and has clear and reasonable objectives)
- Good internal career advancement opportunities
- Periodic updates from top level leadership on where we currently stand as a company, what initiatives are going on, and is coming ahead, etc. - Infra/pipelines fail a lot (custom made instead of off the shelf)
- Innovation is encumbered by the many processes and restrictions put in place (including infra and internal frameworks)",
er_0890b22c6816,amazing loved it food fun friends. people cats customers rude not nice like Baka,
er_c3b98f4041c1,Financial Analyst Development Program It is a good way to get your foot in the door! If you know what you want to do in Finance I d not think this is the place for you.,
er_f708e23e217b,"Amazing benefits The benefits make this company really hard to walk away from. Great health insurance, pay, stock awards, vacation and PTO. Plus, depending on the team, you have some WFH flexibility. Culture is kind of crappy. It feels like Microsoft is geared toward an older generation, so there isn't a lot of excitement about products. 

Also, in a non-technical role, it feels like you are not as valuable as a technical person.",
er_606d0aa72980,"Great company to work for as a consultant SAP UK is a great company at the cutting edge of IT.  I have worked here for over 15 years and there are plenty opportunities to change role.  There is regular investment in training. There are good benefits, and we are looked after e.g. we have lunch paid for and there is a new gym in the office, and events are organised which include our families. Like any large company SAP can sometimes be bureaucratic.",
er_123e362189b0,"Great experiences Lots of responsibility and autonomy Low pay, long hours",
er_e915fb9a4648,"Great company to work for but it has it's dark sides. -Mostly great peers and good collaboration on an international team level
-Access to all the newest tech
-Opportunity to evolve as a person -There is a strong negative trend regarding the long term appreciation or satisfaction of the individual contributor 
-Don't expect any salary renegotiation once hired (excluding annual review)
-High stress environment
-Salary is at most average while the expectations are over the top",
er_87b91a0d8a0c,Political I met some good people Extremely political and not forward thinking. So many people want to have their opinion on things that nothing every moves. People will go behind each others backs to get ahead. Not supportive or forward thinking.,
er_15a4b96f2697,"Awful, awful, awful The money was ok. Fair holidays. Discussed at interview flexible working only to join and be told there was no flexible working, you set your hours and must be sat at your desk between these hours even if you arrive early or have commitments on other dates. 
No fridges, no microwaves and no kettles so basically forced to buy lunch from outside. 
No talking, no headphones are allowed to be listened to. 
No working from home, and oddest of all the technology is about 10 years behind, no laptops which is very odd and such a waste of time. 
Joined and was not introduced to any of HR and didn't have a clue who my HR rep was the full 2 weeks of employment. If you are thinking of moving from a company that treats you like a human being then I wouldn't bother, you will only spend your evenings crying to your partner about what an awful day you have had!",
er_6b8728f748a7,Fair Very long vacations and total disconnect outside of the office . Very good salaries! Very inflexible management and very difficult to innovate,
er_4d5b8c44cb8a,"Looks good in the cv Good opportunities within the company,flexible (work from home and part time opportunity) The job is too process based,not very complicated..no bonus or salary raise..",
