id,text,label
er_830566e9a424,"Graduate - MC TE FS - Canary Wharf London Office Good opportunities, nice people.  Decent pay / benefits. Little control over project assignment / the work you get involved in. 

Some poor / rude directors. 

Role not quite as it was sold when applying for the job. 

Specific to my team - very bad structured training opportunities & qualifications.",not_mentioned
er_50d50edbd3d6,"Love it here! Flexible hours, ability to work from home, incredible benefits, good w/l balance, treat employees well Takes a while to get promotions.",remote
er_4b3052010c85,"Good Company Good working environment
Nice colleagues
Free Trainings salary raise
work from home not always available",remote
er_20065881547f,"IBM made me hate life Some people get to work from home, but not everyone. * The pay is significantly lower than market. 
* No raises.
* For every single person who's actually doing work, there are 30 managers studying charts and graphs of their performance. 
* No career growth opportunities (unless you want to be a manager). 
* I make less money every year; I know this sounds like hyperbole...I actually make LESS every year.
* They monitor their employees' email, chats, web browsing, and social networking activity.
* No loyalty to their staff. If they can find someone (anywhere in the world) willing to do your job for a dollar less, they will cut you lose without a second thought.
* The only thing management seems to care about is the stock price. They care very deeply about the stock price.",remote
er_61590cc403e7,Great Opportunities Fast-paced dynamic company.  Management was engaged.  Employees were valued.  Ability to work remotely. Downside was current financial position of company and industry.  Off-shored some positions.,remote
er_5b4140b38cc3,"Best work culture you can ever find Super smart and highly talented pool of people in the company with full of humility. Each and every employee is treated with same level of respect no matter what your role is. The company is very transparent and the level of commitment by the senior employees is unmatchable. Even for the hiring process, the CEO of the company, Anthony Bruce came down to the DC office in the middle of his business trip overseas to meet and introduce every new hire during the orientation and that speaks volumes of the work ethics and culture.

PS: There is free food almost everyday in the office. Having a startup kind of a culture, sometimes you can get more work leading you to stay in office for long hours.",not_remote
er_f84f1e3ff16c,"Excellent, patient employer Since I started a month ago it has been an entirely positive experience. It is one of the best jobs I've ever had because of the trust they give you from the beginning even though you're still learning and the patience exhibited. They carefully build up all the tools you need to succeed and give you support when you need it, while also letting you stand on your own two feet to test yourself. Couldn't recommend it more. The application process was a bit excessive and 6pm is quite late to punch out. The dress code is business formal (I actually quite like it) but they provide you with a very limited number of company ties, which may not be your cup of tea. Currently you have to eat lunch at your desk in my office.",not_remote
er_c811f816a8ee,"If you live in the USA, avoid IBM as an employer if you have ANY other options. You may well be able to work from home, but, at some point you will be replaced with a lower cost offshore employee. The expectations constantly increase while benefits decrease while the most talented leave and the most senior, most expensive are laid off.",remote
er_7765b22f0665,"Like any other large old company Staff discount. Relaxed atmosphere (mostly). I appreciate the office buildings now I've moved to a bad one. Great pension, relative to the market. Absolutely impossible to progress your career. I can't express my disappointment with the performance review process more. It is literally a popularity contest to get a high rating. In order to be considered for a promotion you need an ""exceptional"" rating and there's practically fist fights over who gets these because of tiny quotas. And then even if you get rated exceptional there's still no job to be promoted to! 
There are a few schemes that lead nowhere - there's the grad scheme where all the grads leave after their minimum commitment, then there's the leadership scheme which is another dead end. 
To get a senior role you pretty much have to be in your 50's having worked for m&s since you were 4.",not_remote
er_fd8e62a22017,Good experience Good on cv and for experience Look after your staff better,not_mentioned
er_0c214831a430,Associate Project Manager Great team atmosphere.  Manager was just a phone a call away. Salary is slightly below average.  401K match program changed. Have to find your next project primarily on your own.,not_mentioned
er_bbe4836c8292,"It's good free fruit / vegetables
flexible hours
benefits team leads pick favorites all the time",not_mentioned
er_5e2f7fd9f829,"Salesforce experience to date Salesforce has a lot of great people. it's simply a great place to work because of these people. There is quite a lot of autonomy in the Dublin office which is great and there's certainly a  good work-life balance. In Salesforce, it can be quite difficult navigating the direction that you would like to take in your career.  In my experience, it's been mostly a minefield when it comes to career advice. It all depends on your manager.",not_remote
er_691c284087e9,It Manager They pay a Good salary High competition  due to international environment,not_mentioned
er_25ffb65e05c1,"Used to be a growing and exciting company. Plagued by poor management and bureaucracy. Some extremely talented technical folks
Ability to work from home Management is a joke
Sales sells technology that we have never even evaluated
Management couldn't make a decision to save their lives
Raises and bonuses are non-existent",remote
er_25675488fefb,"Senior Consultant Steep learning curve, great benefits, great brandname, great exit opps Long hours, office politics, shady projects abroad for non democratic governments",not_mentioned
er_8ed54ea92cc5,Good place Great environment and good culture Could have better working from home,remote
er_8749bfc25899,"Great team members, terrible managment Great people to work with. Smart, dedicated, friendly.  Flexible with work from home.  Good work life balance.  Most departments are very helpful. Managment is somewhat out of touch with their  staff.  My immediate manager was terrible.  Don't know how he got in his position.  He didn't really know much.  It seem most of the managers were like that at Morgan Stanley",remote
er_3ba918dcd070,Happy Solid company; a good pipeline Management; be ready to be measured,not_mentioned
er_8bb247a1829f,Software Engineer Work from home.  Multi Technology Projects. Open door hierarchy. Very short running projects.  Major projects are process driven,remote
er_1f40c367d49a,"Good Work Life Balance!! Flexibility to work from home, ample of opportunities for career progression, good salary No regular hikes; bonus not guaranteed",remote
er_7d88400cdbe9,"hierarchical work culture Good work experience as the firm is reasonably successful and IB front office management is solid. Limited career mobility or career progression, day to day job can be bureaucratic. No real leadership from senior managers in Risk.",not_mentioned
